AVD,American Vanguard Corp.,NYQ,Agricultural Chemicals
POT.TO,"Potash Corp. of Saskatchewan, Inc.",TOR,Agricultural Chemicals
MON,Monsanto Company,NYQ,Agricultural Chemicals
RCF.NS,Rashtriya Chemicals And Fertilizers Limited,NSI,Agricultural Chemicals
AGU,Agrium Inc.,NYQ,Agricultural Chemicals
SYT,Syngenta AG,NYQ,Agricultural Chemicals
CF,"CF Industries Holdings, Inc.",NYQ,Agricultural Chemicals
FF5.MU,CHINA XLX FERTILISE,MUN,Agricultural Chemicals
XCLIND.BO,Excel Industries Limited,,Agricultural Chemicals
NOEC,New Oriental Energy & Chemical Corp,PNK,Agricultural Chemicals
1073.HK,CHINA AGROTECH,HKG,Agricultural Chemicals
POC.MU,POTASH SASKATCHEWAN,MUN,Agricultural Chemicals
WCQ1.F,SINOFERT HOLDINGS,FRA,Agricultural Chemicals
FF5.BE,CHINA XLX FERTILISE,BER,Agricultural Chemicals
MEGH.NS,Meghmani Organics Limited,NSI,Agricultural Chemicals
ST.TO,Stonegate Agricom Ltd.,TOR,Agricultural Chemicals
XCLCROP.BO,Excel Crop Care Limited,,Agricultural Chemicals
POT,"Potash Corp. of Saskatchewan, Inc.",NYQ,Agricultural Chemicals
NUF.AX,Nufarm Limited,ASX,Agricultural Chemicals
CVAT,"Cavitation Technologies, Inc.",PNK,Agricultural Chemicals
POTN.MX,"Potash Corp. of Saskatchewan, Inc.",MEX,Agricultural Chemicals
GRVO.PA,Graines Voltz,PAR,Agricultural Chemicals
0809.HK,GLOBAL BIO-CHEM,HKG,Agricultural Chemicals
RNF,"Rentech Nitrogen Partners, L.P.",NYQ,Agricultural Chemicals
IPI,"Intrepid Potash, Inc.",NYQ,Agricultural Chemicals
DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals
X6S.SG,STONEGATE AGRI,STU,Agricultural Chemicals
IPL.AX,Incitec Pivot Limited,ASX,Agricultural Chemicals
FF5.SG,CHINA XLX FERTILISE,STU,Agricultural Chemicals
AGU.TO,Agrium Inc.,TOR,Agricultural Chemicals
FF5.F,CHINA XLX FERTILISE,FRA,Agricultural Chemicals
ICP.TO,IC Potash Corp.,TOR,Agricultural Chemicals
KRN.TO,Karnalyte Resources Inc.,TOR,Agricultural Chemicals
X6S.F,STONEGATE AGRI,FRA,Agricultural Chemicals
GROG,"GroGenesis, Inc.",OBB,Agricultural Chemicals
E6R.F,DUSOLO FERTILIZERS,FRA,Agricultural Chemicals
NFL.BO,National Fertilizers Ltd.,BSE,Agricultural Chemicals
GOP.V,Gourmet Ocean Products Inc.,VAN,Agricultural Chemicals
UAN,"CVR Partners, LP",NYQ,Agricultural Chemicals
YONGY,Yongnam Holdings Limited,PNK,Agricultural Chemicals
MGO.TO,Migao Corporation,TOR,Agricultural Chemicals
MBC.TO,MBAC Fertilizer Corp,TOR,Agricultural Chemicals
TNH,"Terra Nitrogen Company, L.P.",NYQ,Agricultural Chemicals
X6S.MU,STONEGATE AGRI,MUN,Agricultural Chemicals
CGA,"China Green Agriculture, Inc.",NYQ,Agricultural Chemicals
JLWT,Janel World Trade Ltd.,PNK,Air Delivery & Freight Services
EXPD,Expeditors International of Washington Inc.,NMS,Air Delivery & Freight Services
JB1.MU,J.B.HUNT TRANSP,MUN,Air Delivery & Freight Services
UTW1.BE,UTI WORLDWIDE,BER,Air Delivery & Freight Services
EW1.MU,EXPEDIT INTL WASH,MUN,Air Delivery & Freight Services
SINO,"Sino-Global Shipping America, Ltd.",NCM,Air Delivery & Freight Services
AIRT,Air T Inc.,NCM,Air Delivery & Freight Services
FWRD,Forward Air Corp.,NMS,Air Delivery & Freight Services
GPW.V,Grand Power Logistics Group Inc.,VAN,Air Delivery & Freight Services
GND.PA,Norbert Dentressangle S.A.,PAR,Air Delivery & Freight Services
NS8U.SI,Hutchison Port Holdings Trust,SES,Air Delivery & Freight Services
RRTS,"Roadrunner Transportation Systems, Inc.",NYQ,Air Delivery & Freight Services
WNL.F,WILH. WILHELMSEN,FRA,Air Delivery & Freight Services
NRINTER.BO,NR International Ltd.,BSE,Air Delivery & Freight Services
CGOA.SG,MODUSLINK GLBL SOLS,STU,Air Delivery & Freight Services
CNR,China Metro-Rural Holdings Limited,ASE,Air Delivery & Freight Services
TOL.AX,Toll Holdings Limited,ASX,Air Delivery & Freight Services
XUN.SG,SHUN TAK HLDGS,STU,Air Delivery & Freight Services
P01.SI,Poh Tiong Choon Logistics Limited,SES,Air Delivery & Freight Services
PVI.V,Pro trans Ventures Inc.,VAN,Air Delivery & Freight Services
XJL.F,CHINA MET-RURAL HLD,FRA,Air Delivery & Freight Services
FRE.NZ,Freightways Limited,NZE,Air Delivery & Freight Services
K11.SI,Keppel Telecommunications & Transportation Ltd,SES,Air Delivery & Freight Services
DPW.DE,Deutsche Post AG,GER,Air Delivery & Freight Services
KPL.F,KEPPEL TEL & TRANSP,FRA,Air Delivery & Freight Services
KSC.AX,K & S Corporation Limited,ASX,Air Delivery & Freight Services
MLNK,"ModusLink Global Solutions, Inc.",NMS,Air Delivery & Freight Services
MFT.NZ,Mainfreight Limited,NZE,Air Delivery & Freight Services
JB1.BE,J.B.HUNT TRANSP,BER,Air Delivery & Freight Services
QUB.AX,Qube Holdings Limited,ASX,Air Delivery & Freight Services
UPS,"United Parcel Service, Inc.",NYQ,Air Delivery & Freight Services
JB1.F,J.B.HUNT TRANSP,FRA,Air Delivery & Freight Services
RLGT,"Radiant Logistics, Inc.",ASE,Air Delivery & Freight Services
XPO,"XPO Logistics, Inc.",NYQ,Air Delivery & Freight Services
HUBG,Hub Group Inc.,NMS,Air Delivery & Freight Services
ATSG,"Air Transport Services Group, Inc.",NMS,Air Delivery & Freight Services
CHRW,CH Robinson Worldwide Inc.,NMS,Air Delivery & Freight Services
UTIW,UTi Worldwide Inc.,NMS,Air Delivery & Freight Services
XUN.F,SHUN TAK HLDGS,FRA,Air Delivery & Freight Services
WGI.V,Wheels Group Inc.,VAN,Air Delivery & Freight Services
RMG.L,Royal Mail plc,LSE,Air Delivery & Freight Services
CONCOR.NS,Container Corporation of India Ltd.,NSI,Air Delivery & Freight Services
FDX,FedEx Corporation,NYQ,Air Delivery & Freight Services
0494.HK,Li & Fung Limited,HKG,Air Delivery & Freight Services
XUN.MU,SHUN TAK HLDGS,MUN,Air Delivery & Freight Services
0885.HK,FOREFRONT GROUP,HKG,Air Delivery & Freight Services
MIC,Macquarie Infrastructure Company LLC,NYQ,"Air Services, Other"
KLH.F,COPENHAGEN AIRPORT,FRA,"Air Services, Other"
JAGSONAI.BO,Jagson Airlines Ltd.,BSE,"Air Services, Other"
FLW.DU,FLUGHAFEN WIEN,DUS,"Air Services, Other"
W7L.SG,ADP,STU,"Air Services, Other"
W1J.SG,SATS,STU,"Air Services, Other"
ASR,"Grupo Aeroportuario del Sureste, SAB de CV",NYQ,"Air Services, Other"
UZA.BE,FLUGHAFEN ZUERICH N,BER,"Air Services, Other"
BBA.L,BBA Aviation plc,LSE,"Air Services, Other"
UZA.F,FLUGHAFEN ZUERICH N,FRA,"Air Services, Other"
CJT.TO,Cargojet Inc.,TOR,"Air Services, Other"
SKAS,"Saker Aviation Services, Inc.",PNK,"Air Services, Other"
OMAB.MX,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",MEX,"Air Services, Other"
TX3.BE,AIRPORTS OF THAI-F-,BER,"Air Services, Other"
W7L.F,ADP,FRA,"Air Services, Other"
MLAAE.PA,Caire,PAR,"Air Services, Other"
UZA.SG,FLUGHAFEN ZUERICH N,STU,"Air Services, Other"
AAWW,"Atlas Air Worldwide Holdings, Inc.",NMS,"Air Services, Other"
PAC,Grupo Aeroportuario del Pacifico S.A.B. de CV,NYQ,"Air Services, Other"
PHII,PHI Inc.,NMS,"Air Services, Other"
FLW.F,FLUGHAFEN WIEN,FRA,"Air Services, Other"
AER,AerCap Holdings N.V.,NYQ,"Air Services, Other"
PJT.V,Partner Jet Corp.,VAN,"Air Services, Other"
KFA.NS,Kingfisher Airlines Limited,NSI,"Air Services, Other"
AIRM,Air Methods Corp.,NMS,"Air Services, Other"
AIR.NZ,Air New Zealand Limited,NZE,"Air Services, Other"
ACH,Aluminum Corporation Of China Limited,NYQ,Aluminum
ORT.TO,Orbite Aluminae Inc,TOR,Aluminum
WMC.MU,ALUMINA SP ADR,MUN,Aluminum
WMC.SG,ALUMINA SP ADR,STU,Aluminum
KLU1.SG,KAISER ALUM,STU,Aluminum
K3HD.SI,Aluminum Corporation Of China Limited,SES,Aluminum
0CZ.F,CHINA ZHONGWANG,FRA,Aluminum
NOH1.DE,Norsk Hydro ASA,GER,Aluminum
R6L.SG,UNITED COMP RUSAL,STU,Aluminum
4H6.BE,HULAMIN,BER,Aluminum
NOR,Noranda Aluminum Holding Corp.,NYQ,Aluminum
5EN.SI,Midas Holdings Limited,SES,Aluminum
ACHN.MX,Aluminum Corporation Of China Limited,MEX,Aluminum
1333.HK,CHINA ZHONGWANG,HKG,Aluminum
0486.HK,RUSAL,HKG,Aluminum
HINDALCO.NS,Hindalco Industries Ltd.,NSI,Aluminum
HINDALCO.BO,Hindalco Industries Ltd.,BSE,Aluminum
AA,Alcoa Inc.,NYQ,Aluminum
MN5.SI,XinRen Aluminum Holdings Limited,SES,Aluminum
CENX,Century Aluminum Co.,NMS,Aluminum
RUSAL.PA,United Company RUSAL Plc,PAR,Aluminum
4H6.F,HULAMIN,FRA,Aluminum
NATIONALU.NS,National Aluminium Co. Ltd.,NSI,Aluminum
KALU,Kaiser Aluminum Corporation,NMS,Aluminum
0647.HK,JOYCE BOUTIQUE,HKG,Apparel Stores
NXT.L,Next Plc,LSE,Apparel Stores
CHS,Chico's FAS Inc.,NYQ,Apparel Stores
GPS.V,BSM Technologies Inc.,VAN,Apparel Stores
GCO,Genesco Inc.,NYQ,Apparel Stores
CBK,Christopher & Banks Corporation,NYQ,Apparel Stores
MW,"The Men's Wearhouse, Inc.",NYQ,Apparel Stores
VCH.MU,CHARLES VOEGELE,MUN,Apparel Stores
SFH.AX,Specialty Fashion Group Limited,ASX,Apparel Stores
GES,Guess' Inc.,NYQ,Apparel Stores
URBN,Urban Outfitters Inc.,NMS,Apparel Stores
NXG.SG,NEXT,STU,Apparel Stores
RET-A.TO,Reitmans Canada Ltd.,TOR,Apparel Stores
O08.SI,Ossia International Limited,SES,Apparel Stores
DSW,DSW Inc.,NYQ,Apparel Stores
IXD.SG,INDITEX,STU,Apparel Stores
1368.HK,XTEP INT'L,HKG,Apparel Stores
CATO,The Cato Corporation,NYQ,Apparel Stores
ANN,ANN INC.,NYQ,Apparel Stores
PLCE,"The Children's Place, Inc.",NMS,Apparel Stores
AEO,"American Eagle Outfitters, Inc.",NYQ,Apparel Stores
GPS,"The Gap, Inc.",NYQ,Apparel Stores
CHKE,Cherokee Inc.,NMS,Apparel Stores
LB,"L Brands, Inc.",NYQ,Apparel Stores
NWY,New York & Company Inc.,NYQ,Apparel Stores
SMRT,Stein Mart Inc.,NMS,Apparel Stores
ARO,"Aéropostale, Inc.
",NYQ,Apparel Stores
0238.HK,EVERGREEN INT,HKG,Apparel Stores
4QI.F,XTEP INTL HLDGS,FRA,Apparel Stores
ULC.DE,UNITEDLABELS Aktiengesellschaft,GER,Apparel Stores
RSO.SG,ROSS STORES,STU,Apparel Stores
GMAN,"Gordmans Stores, Inc.",NMS,Apparel Stores
BEBE,"Bebe Stores, Inc.",NMS,Apparel Stores
ASNA,Ascena Retail Group Inc.,NMS,Apparel Stores
IXD.MU,INDITEX,MUN,Apparel Stores
WTSL,"The Wet Seal, Inc.",NMS,Apparel Stores
JYE.F,JOYCE BOUTIQUE,FRA,Apparel Stores
KMD.AX,Kathmandu Holdings Limited,ASX,Apparel Stores
YC8.F,CHICO'S FAS,FRA,Apparel Stores
BKE,"The Buckle, Inc.",NYQ,Apparel Stores
DXLG,"Destination XL Group, Inc.",NMS,Apparel Stores
EXPR,Express Inc.,NYQ,Apparel Stores
ROST,Ross Stores Inc.,NMS,Apparel Stores
SSI,Stage Stores Inc.,NYQ,Apparel Stores
ANF,Abercrombie & Fitch Co.,NYQ,Apparel Stores
PSUN,Pacific Sunwear of California Inc.,NMS,Apparel Stores
SCVL,Shoe Carnival Inc.,NMS,Apparel Stores
FRAN,Francesca's Holdings Corporation,NMS,Apparel Stores
DEST,Destination Maternity Corporation,NMS,Apparel Stores
TLYS,"Tilly's, Inc.",NYQ,Apparel Stores
BODY,Body Central Corp.,PNK,Apparel Stores
TTI.F,TOM TAILOR HLDG N,FRA,Apparel Stores
JWN,Nordstrom Inc.,NYQ,Apparel Stores
CTRN,"Citi Trends, Inc.",NMS,Apparel Stores
LUX,Luxottica Group SpA,NYQ,Apparel Stores
IXD.DE,Industria de Diseno Textil SA,GER,Apparel Stores
CTU-A.TO,Le Chateau Inc.,TOR,Apparel Stores
CACH,Cache Inc.,NMS,Apparel Stores
IRBT,iRobot Corporation,NMS,Appliances
WHR,Whirlpool Corp.,NYQ,Appliances
AVRN,Avra Inc.,OBB,Appliances
IMMR,Immersion Corporation,NMS,Application Software
EXNT,Enxnet Inc.,PNK,Application Software
PWEB,"Pacific WebWorks, Inc.",OBB,Application Software
RALY,Rally Software Development Corp.,NYQ,Application Software
QADA,QAD Inc.,NMS,Application Software
MATR,Mattersight Corporation,NGM,Application Software
BNFT,"Benefitfocus, Inc.",NGM,Application Software
DWRE,"Demandware, Inc.",NYQ,Application Software
SQI,"SciQuest, Inc.",NMS,Application Software
CRM,"salesforce.com, inc.",NYQ,Application Software
MBLY,Mobileye N.V.,NYQ,Application Software
CHYR,ChyronHego Corp.,NGM,Application Software
FALC,Falconstor Software Inc.,NGM,Application Software
FIVN,"Five9, Inc.",NGM,Application Software
VPIG,"Virtual Piggy, Inc",OBB,Application Software
OPWR,"OPOWER, Inc.",NYQ,Application Software
CDK,"CDK Global, Inc.",NMS,Application Software
SSNT,"SilverSun Technologies, Inc.",OBB,Application Software
BIRT,Actuate Corporation,NMS,Application Software
TXTR,Textura Corporation,NYQ,Application Software
MEDA,Media Analytics Corporation,PNK,Application Software
CMCM,Cheetah Mobile Inc.,NYQ,Application Software
RP,"RealPage, Inc.",NMS,Application Software
BSQR,BSQUARE Corp.,NGM,Application Software
DTVI,"Dot VN, Inc. (DE)",PNK,Application Software
JIVE,"Jive Software, Inc.",NMS,Application Software
PRO,"PROS Holdings, Inc.",NYQ,Application Software
FTNT,Fortinet Inc.,NMS,Application Software
UPIP,"Unwired Planet, Inc.",NMS,Application Software
FXIT,Forex International Trading Corp.,PNK,Application Software
DATA,"Tableau Software, Inc.",NYQ,Application Software
IMPV,Imperva Inc.,NYQ,Application Software
ORCL,Oracle Corporation,NYQ,Application Software
TISA,Top Image Systems Ltd.,NCM,Application Software
BGNN,"B Green Innovations, Inc.",PNK,Application Software
SOFO,"Sonic Foundry, Inc.",NCM,Application Software
ELLI,"Ellie Mae, Inc.",NYQ,Application Software
TUBE,"TubeMogul, Inc.",NMS,Application Software
XFCH,"X-Factor Communications Holdings, Inc.",PNK,Application Software
MITK,"Mitek Systems, Inc.",NCM,Application Software
SNCR,"Synchronoss Technologies, Inc.",NMS,Application Software
UPLD,"Upland Software, Inc.",NGM,Application Software
ACTA,Actua Corporation,NMS,Application Software
GOMO,Sungy Mobile Limited,NGM,Application Software
CTRX,Catamaran Corporation,NMS,Application Software
GLSO,GlassesOff Inc.,OBB,Application Software
MOBL,"MobileIron, Inc.",NMS,Application Software
EXA,Exa Corporation,NGM,Application Software
STMP,Stamps.com Inc.,NMS,Application Software
DTSI,DTS Inc.,NMS,Application Software
WNYN,"Warp 9, Inc.",PNK,Application Software
SWI,"SolarWinds, Inc.",NYQ,Application Software
AGYS,Agilysys Inc.,NMS,Application Software
SYNA,Synaptics Inc.,NMS,Application Software
GSB,"GlobalSCAPE, Inc.",ASE,Application Software
MOBI,Sky-mobi Limited,NGM,Application Software
ZEN,"Zendesk, Inc.",NYQ,Application Software
MUSS,"Multi Solutions II, Inc.",PNK,Application Software
BLIN,"Bridgeline Digital, Inc.",NCM,Application Software
AMSWA,"American Software, Inc.",NMS,Application Software
GUID,"Guidance Software, Inc.",NGM,Application Software
CATI,Clone Algo Technologies Inc.,OBB,Application Software
SAP,SAP SE,NYQ,Application Software
EIGI,"Endurance International Group Holdings, Inc.",NMS,Application Software
RNG,"RingCentral, Inc.",NYQ,Application Software
MGIC,Magic Software Enterprises Ltd.,NMS,Application Software
MODN,"Model N, Inc.",NYQ,Application Software
SRNA,Surna Inc.,PNK,Application Software
SAAX,Nouveau Ventures Inc.,PNK,Application Software
CVLT,"CommVault Systems, Inc.",NMS,Application Software
TYPE,Monotype Imaging Holdings Inc.,NMS,Application Software
ADVS,"Advent Software, Inc.",NMS,Application Software
FLTX,Fleetmatics Group PLC,NYQ,Application Software
SLH,Solera Holdings Inc.,NYQ,Application Software
EOPN,"E2open, Inc.",NGM,Application Software
PRGS,Progress Software Corporation,NMS,Application Software
EFUT,e-Future Information Technology Inc.,NCM,Application Software
CVT,"Cvent, Inc.",NYQ,Application Software
PCTY,Paylocity Holding Corporation,NMS,Application Software
COVS,Covisint Corporation,NMS,Application Software
CSOD,"Cornerstone OnDemand, Inc.",NMS,Application Software
MEDL,"MEDL Mobile Holdings, Inc.",PNK,Application Software
ANSS,"Ansys, Inc.",NMS,Application Software
